"name","est","target"
"AC007552.1",0,NA
"AC007559.1",0,NA
"AC007560.1",0,NA
"AC007562.1",0,NA
"AC007563.3",17.0078,NA
"AC007566.2",0,NA
"AC007568.1",0,NA
"AC007599.1",0,NA
"AC007603.3",5,NA
"AC007610.3",0,NA
"AC007618.1",0,NA
"AC007618.2",0,NA
"AC007619.2",0,NA
"AC007619.3",0,NA
"AC007620.1",0,NA
"AC007621.1",0,NA
"AC007621.2",0,NA
"AC007622.1",0,NA
"AC007663.1",4.09526,NA
"AC007677.1",0,NA
"AC007679.2",0,NA
"AC007679.4",0,NA
"AC007683.1",6.3846,NA
"AC007685.1",0,NA
"AC007686.1",3.0004,NA
"AC007688.2",5.19422,NA
"AC007690.1",1.32721,NA
"AC007718.1",0,NA
"AC007731.1",21.6324,NA
"AC007731.4",0,NA
"AC007738.1",0,NA
"AC007742.1",0,NA
"AC007742.2",0,NA
"AC007751.1",0,NA
"AC007785.2",0,NA
"AC007790.1",0,NA
"AC007834.2",4,NA
"AC007842.1",45.6273,NA
"AC007842.2",45.6273,NA
"AC007846.2",3.59125,NA
"AC007849.2",0,NA
"AC007881.1",2.12496,NA
"AC007899.1",0,NA
"AC007906.2",948.28693,NA
"AC007908.1",1.60026,NA
"AC007919.1",1.04851,NA
"AC007919.2",2,NA
"AC007923.2",6.86779,NA
"AC007923.3",0,NA
"AC007954.1",1,NA
"AC007956.2",0,NA
"AC007967.1",0,NA
"AC007967.2",0,NA
"AC007967.3",0,NA
"AC007967.4",0,NA
"AC007969.1",6.77818,NA
"AC007969.2",2,NA
"AC007991.1",0,NA
"AC007992.1",0,NA
"AC007992.2",0,NA
"AC007993.1",0,NA
"AC007998.1",0,NA
"AC007998.2",11.9359,NA
"AC008011.1",0,NA
"AC008012.1",314.812,NA
"AC008013.1",25.50639,NA
"AC008013.2",13,NA
"AC008013.3",1.74906,NA
"AC008015.1",0,NA
"AC008026.1",2.91831,NA
"AC008026.2",0,NA
"AC008033.1",0,NA
"AC008033.2",0,NA
"AC008038.1",56.586,NA
"AC008040.2",0,NA
"AC008040.3",0,NA
"AC008040.4",1,NA
"AC008055.1",0,NA
"AC008065.1",1.00381,NA
"AC008066.1",0,NA
"AC008069.1",0,NA
"AC008072.1",21.4113,NA
"AC008073.3",28.4978,NA
"AC008074.1",1,NA
"AC008105.2",58.07689,NA
"AC008121.1",0,NA
"AC008126.1",0,NA
"AC008127.2",0,NA
"AC008132.1",37.1309,NA
"AC008132.2",0,NA
"AC008134.1",1,NA
"AC008147.3",6,NA
"AC008147.4",2,NA
"AC008155.1",0,NA
"AC008162.1",0,NA
"AC008162.2",5.51702,NA
"AC008163.1",0,NA
"AC008171.1",1,NA
"AC008175.2",0,NA
"AC008264.1",0,NA
"AC008267.1",0,NA
"AC008267.2",13.1205,NA
"AC008267.3",11,NA
"AC008267.4",2.68448,NA
"AC008267.6",6,NA
"AC008267.7",0,NA
"AC008277.2",0,NA
"AC008280.1",0,NA
"AC008280.2",0.316166,NA
"AC008379.1",2,NA
"AC008385.1",0,NA
"AC008393.2",4478.48,NA
"AC008397.1",3,NA
"AC008397.2",13.1532,NA
"AC008403.1",0,NA
"AC008410.1",0,NA
"AC008413.1",0,NA
"AC008417.1",3,NA
"AC008427.1",8.15852,NA
"AC008429.2",0,NA
"AC008429.4",0,NA
"AC008432.1",0,NA
"AC008443.7",1.11993,NA
"AC008446.1",2.00031,NA
"AC008463.1",0,NA
"AC008481.1",1.06678,NA
"AC008481.2",8,NA
"AC008481.3",0,NA
"AC008489.1",0,NA
"AC008494.1",4.00066,NA
