"Gene.name","SUM(est_counts)"
"AC010086.1",0
"AC010086.2",0
"AC010087.1",0
"AC010095.1",0
"AC010099.1",0
"AC010099.2",0
"AC010099.3",0
"AC010132.2",9.43943
"AC010132.3",1657.59872
"AC010133.1",0
"AC010141.1",0
"AC010141.2",0
"AC010149.2",0
"AC010153.1",0
"AC010154.1",0
"AC010182.1",2.00932
"AC010186.2",572.9999
"AC010197.2",14.7422
"AC010200.1",0
"AC010200.2",0
"AC010202.1",0
"AC010203.1",27.9081
"AC010240.1",0
"AC010240.2",0
"AC010255.3",5
"AC010265.1",0
"AC010285.2",0
"AC010287.1",0
"AC010301.1",0
"AC010306.1",3
"AC010307.1",0
"AC010319.1",31.9163
"AC010319.2",0
"AC010320.5",0
"AC010323.1",108.976
"AC010323.2",0
"AC010325.1",19.4873
"AC010325.3",0
"AC010326.1",2
"AC010326.2",2.74673
"AC010326.4",371.9115
"AC010327.2",9.78825
"AC010327.3",1.00472
"AC010328.2",0
"AC010329.2",76.179
"AC010329.3",11.6946
"AC010329.5",11.6946
"AC010332.1",20
"AC010332.2",0
"AC010336.7",0
"AC010338.1",0
"AC010342.1",0
"AC010343.1",10.6681
"AC010343.2",0
"AC010350.1",0
"AC010368.1",1
"AC010374.1",0
"AC010374.2",0
"AC010376.1",0
"AC010378.1",7
"AC010385.1",0
"AC010385.2",0
"AC010385.3",0
"AC010395.2",0
"AC010409.1",1.00007
"AC010409.2",0
"AC010422.3",297.57
"AC010422.5",0
"AC010422.6",0
"AC010422.8",491.669
"AC010424.1",1
"AC010442.2",0
"AC010442.3",0
"AC010460.1",0
"AC010460.2",0
"AC010460.3",0
"AC010463.1",0
"AC010468.1",5.36851
"AC010468.3",0
"AC010469.1",4.01268
"AC010469.2",0
"AC010476.1",0
"AC010487.1",74.6362
"AC010487.3",0
"AC010492.1",0
"AC010492.2",0
"AC010493.1",2
"AC010503.3",0
"AC010507.1",74.86868
"AC010507.2",60.0594
"AC010518.1",0
"AC010522.1",13.02816
"AC010525.2",0
"AC010531.1",0
"AC010531.2",0
"AC010542.3",10.11979
"AC010546.1",0
"AC010547.4",59.8359
"AC010547.5",0
"AC010547.6",0
"AC010587.1",0
"AC010587.2",0
"AC010591.1",1
"AC010598.1",1
"AC010614.1",0
"AC010615.1",46.1152
"AC010615.3",0
"AC010615.4",2.09253
"AC010616.1",0
"AC010618.1",0
"AC010619.1",0
"AC010620.1",0
"AC010620.2",0
"AC010624.4",0
"AC010625.1",0
"AC010627.1",0
"AC010631.1",0
"AC010632.3",0
"AC010642.1",3
"AC010646.1",0
"AC010653.1",0
