t1,t2
0.003738678,0.018601945
0.004722327,0.018887637
0.010894164,0.021570176
0.004090132,0.016777021
0.004417945,0.019050679
0.003883849,0.017942397
0.008836191,0.019573338
0.004362132,0.017458301
0.005302947,0.02326692
0.003150628,0.016660152
0.003992357,0.017361594
0.003451559,0.017591221
0.007099522,0.018830482
0.004395964,0.015104388
0.004684924,0.018129691
0.003635031,0.0155416
0.003631502,0.018634808
0.003261306,0.017865992
0.003719067,0.018336206
0.006198699,0.020284471
0.003968085,0.016620599
0.004607478,0.016975526
0.003530955,0.018689482
0.007536012,0.019043099
0.004139697,0.01554361
0.003961204,0.023622387
0.005677543,0.026622279
0.004591178,0.019219391
0.00345314,0.014284467
0.003409856,0.019401595
0.005885606,0.014368693
0.00290058,0.019231402
0.00461601,0.016413174
0.003233414,0.020991162
0.003699586,0.018954552
0.005505541,0.023238858
0.003578038,0.018110589
0.003332621,0.021071848
0.003529524,0.017148338
0.005398513,0.014688686
0.004102074,0.01649703
0.00461831,0.019386344
0.004001166,0.025941289
0.003291458,0.031725417
0.003886859,0.017160149
0.00362049,0.015168292
0.003633641,0.0170466
0.003593068,0.019227622
0.003528074,0.015970531
0.004687714,0.022653336
0.006100632,0.015737454
0.003452039,0.016871848
0.008186616,0.018518229
